serial_number,step_inteval,steps,learning_rate,nodes,batch
1,1,65,0.01,50,10
2,1,65,0.01,50,50
3,1,65,0.01,50,100
4,1,65,0.01,50,200
5,1,65,0.01,100,10
6,1,65,0.01,100,50
7,1,65,0.01,100,100
8,1,65,0.01,100,200
9,1,65,0.01,250,10
10,1,65,0.01,250,50
11,1,65,0.01,250,100
12,1,65,0.01,250,200
13,1,65,0.01,500,10
14,1,65,0.01,500,50
15,1,65,0.01,500,100
16,1,65,0.01,500,200
17,1,65,0.001,50,10
18,1,65,0.001,50,50
19,1,65,0.001,50,100
20,1,65,0.001,50,200
21,1,65,0.001,100,10
22,1,65,0.001,100,50
23,1,65,0.001,100,100
24,1,65,0.001,100,200
25,1,65,0.001,250,10
26,1,65,0.001,250,50
27,1,65,0.001,250,100
28,1,65,0.001,250,200
29,1,65,0.001,500,10
30,1,65,0.001,500,50
31,1,65,0.001,500,100
32,1,65,0.001,500,200
33,1,100,0.01,50,10
34,1,100,0.01,50,50
35,1,100,0.01,50,100
36,1,100,0.01,50,200
37,1,100,0.01,100,10
38,1,100,0.01,100,50
39,1,100,0.01,100,100
40,1,100,0.01,100,200
41,1,100,0.01,250,10
42,1,100,0.01,250,50
43,1,100,0.01,250,100
44,1,100,0.01,250,200
45,1,100,0.01,500,10
46,1,100,0.01,500,50
47,1,100,0.01,500,100
48,1,100,0.01,500,200
49,1,100,0.001,50,10
50,1,100,0.001,50,50
51,1,100,0.001,50,100
52,1,100,0.001,50,200
53,1,100,0.001,100,10
54,1,100,0.001,100,50
55,1,100,0.001,100,100
56,1,100,0.001,100,200
57,1,100,0.001,250,10
58,1,100,0.001,250,50
59,1,100,0.001,250,100
60,1,100,0.001,250,200
61,1,100,0.001,500,10
62,1,100,0.001,500,50
63,1,100,0.001,500,100
64,1,100,0.001,500,200
65,5,20,0.01,50,10
66,5,20,0.01,50,50
67,5,20,0.01,50,100
68,5,20,0.01,50,200
69,5,20,0.01,100,10
70,5,20,0.01,100,50
71,5,20,0.01,100,100
72,5,20,0.01,100,200
73,5,20,0.01,250,10
74,5,20,0.01,250,50
75,5,20,0.01,250,100
76,5,20,0.01,250,200
77,5,20,0.01,500,10
78,5,20,0.01,500,50
79,5,20,0.01,500,100
80,5,20,0.01,500,200
81,5,20,0.001,50,10
82,5,20,0.001,50,50
83,5,20,0.001,50,100
84,5,20,0.001,50,200
85,5,20,0.001,100,10
86,5,20,0.001,100,50
87,5,20,0.001,100,100
88,5,20,0.001,100,200
89,5,20,0.001,250,10
90,5,20,0.001,250,50
91,5,20,0.001,250,100
92,5,20,0.001,250,200
93,5,20,0.001,500,10
94,5,20,0.001,500,50
95,5,20,0.001,500,100
96,5,20,0.001,500,200
97,10,10,0.01,50,10
98,10,10,0.01,50,50
99,10,10,0.01,50,100
100,10,10,0.01,50,200
101,10,10,0.01,100,10
102,10,10,0.01,100,50
103,10,10,0.01,100,100
104,10,10,0.01,100,200
105,10,10,0.01,250,10
106,10,10,0.01,250,50
107,10,10,0.01,250,100
108,10,10,0.01,250,200
109,10,10,0.01,500,10
110,10,10,0.01,500,50
111,10,10,0.01,500,100
112,10,10,0.01,500,200
113,10,10,0.001,50,10
114,10,10,0.001,50,50
115,10,10,0.001,50,100
116,10,10,0.001,50,200
117,10,10,0.001,100,10
118,10,10,0.001,100,50
119,10,10,0.001,100,100
120,10,10,0.001,100,200
121,10,10,0.001,250,10
122,10,10,0.001,250,50
123,10,10,0.001,250,100
124,10,10,0.001,250,200
125,10,10,0.001,500,10
126,10,10,0.001,500,50
127,10,10,0.001,500,100
128,10,10,0.001,500,200
129,20,10,0.01,50,10
130,20,10,0.01,50,50
131,20,10,0.01,50,100
132,20,10,0.01,50,200
133,20,10,0.01,100,10
134,20,10,0.01,100,50
135,20,10,0.01,100,100
136,20,10,0.01,100,200
137,20,10,0.01,250,10
138,20,10,0.01,250,50
139,20,10,0.01,250,100
140,20,10,0.01,250,200
141,20,10,0.01,500,10
142,20,10,0.01,500,50
143,20,10,0.01,500,100
144,20,10,0.01,500,200
145,20,10,0.001,50,10
146,20,10,0.001,50,50
147,20,10,0.001,50,100
148,20,10,0.001,50,200
149,20,10,0.001,100,10
150,20,10,0.001,100,50
151,20,10,0.001,100,100
152,20,10,0.001,100,200
153,20,10,0.001,250,10
154,20,10,0.001,250,50
155,20,10,0.001,250,100
156,20,10,0.001,250,200
157,20,10,0.001,500,10
158,20,10,0.001,500,50
159,20,10,0.001,500,100
160,20,10,0.001,500,200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
289,1,65,0.01,50,10
290,1,65,0.01,50,50
291,1,65,0.01,50,100
292,1,65,0.01,50,200
293,1,65,0.01,100,10
294,1,65,0.01,100,50
295,1,65,0.01,100,100
296,1,65,0.01,100,200
297,1,65,0.01,250,10
298,1,65,0.01,250,50
299,1,65,0.01,250,100
300,1,65,0.01,250,200
301,1,65,0.01,500,10
302,1,65,0.01,500,50
303,1,65,0.01,500,100
304,1,65,0.01,500,200
305,1,65,0.001,50,10
306,1,65,0.001,50,50
307,1,65,0.001,50,100
308,1,65,0.001,50,200
309,1,65,0.001,100,10
310,1,65,0.001,100,50
311,1,65,0.001,100,100
312,1,65,0.001,100,200
313,1,65,0.001,250,10
314,1,65,0.001,250,50
315,1,65,0.001,250,100
316,1,65,0.001,250,200
317,1,65,0.001,500,10
318,1,65,0.001,500,50
319,1,65,0.001,500,100
320,1,65,0.001,500,200
321,1,100,0.01,50,10
322,1,100,0.01,50,50
323,1,100,0.01,50,100
324,1,100,0.01,50,200
325,1,100,0.01,100,10
326,1,100,0.01,100,50
327,1,100,0.01,100,100
328,1,100,0.01,100,200
329,1,100,0.01,250,10
330,1,100,0.01,250,50
331,1,100,0.01,250,100
332,1,100,0.01,250,200
333,1,100,0.01,500,10
334,1,100,0.01,500,50
335,1,100,0.01,500,100
336,1,100,0.01,500,200
337,1,100,0.001,50,10
338,1,100,0.001,50,50
339,1,100,0.001,50,100
340,1,100,0.001,50,200
341,1,100,0.001,100,10
342,1,100,0.001,100,50
343,1,100,0.001,100,100
344,1,100,0.001,100,200
345,1,100,0.001,250,10
346,1,100,0.001,250,50
347,1,100,0.001,250,100
348,1,100,0.001,250,200
349,1,100,0.001,500,10
350,1,100,0.001,500,50
351,1,100,0.001,500,100
352,1,100,0.001,500,200
353,5,20,0.01,50,10
354,5,20,0.01,50,50
355,5,20,0.01,50,100
356,5,20,0.01,50,200
357,5,20,0.01,100,10
358,5,20,0.01,100,50
359,5,20,0.01,100,100
360,5,20,0.01,100,200
361,5,20,0.01,250,10
362,5,20,0.01,250,50
363,5,20,0.01,250,100
364,5,20,0.01,250,200
365,5,20,0.01,500,10
366,5,20,0.01,500,50
367,5,20,0.01,500,100
368,5,20,0.01,500,200
369,5,20,0.001,50,10
370,5,20,0.001,50,50
371,5,20,0.001,50,100
372,5,20,0.001,50,200
373,5,20,0.001,100,10
374,5,20,0.001,100,50
375,5,20,0.001,100,100
376,5,20,0.001,100,200
377,5,20,0.001,250,10
378,5,20,0.001,250,50
379,5,20,0.001,250,100
380,5,20,0.001,250,200
381,5,20,0.001,500,10
382,5,20,0.001,500,50
383,5,20,0.001,500,100
384,5,20,0.001,500,200
385,5,30,0.01,50,10
386,5,30,0.01,50,50
387,5,30,0.01,50,100
388,5,30,0.01,50,200
389,5,30,0.01,100,10
390,5,30,0.01,100,50
391,5,30,0.01,100,100
392,5,30,0.01,100,200
393,5,30,0.01,250,10
394,5,30,0.01,250,50
395,5,30,0.01,250,100
396,5,30,0.01,250,200
397,5,30,0.01,500,10
398,5,30,0.01,500,50
399,5,30,0.01,500,100
400,5,30,0.01,500,200
401,5,30,0.001,50,10
402,5,30,0.001,50,50
403,5,30,0.001,50,100
404,5,30,0.001,50,200
405,5,30,0.001,100,10
406,5,30,0.001,100,50
407,5,30,0.001,100,100
408,5,30,0.001,100,200
409,5,30,0.001,250,10
410,5,30,0.001,250,50
411,5,30,0.001,250,100
412,5,30,0.001,250,200
413,5,30,0.001,500,10
414,5,30,0.001,500,50
415,5,30,0.001,500,100
416,5,30,0.001,500,200
417,10,10,0.01,50,10
418,10,10,0.01,50,50
419,10,10,0.01,50,100
420,10,10,0.01,50,200
421,10,10,0.01,100,10
422,10,10,0.01,100,50
423,10,10,0.01,100,100
424,10,10,0.01,100,200
425,10,10,0.01,250,10
426,10,10,0.01,250,50
427,10,10,0.01,250,100
428,10,10,0.01,250,200
429,10,10,0.01,500,10
430,10,10,0.01,500,50
431,10,10,0.01,500,100
432,10,10,0.01,500,200
433,10,10,0.001,50,10
434,10,10,0.001,50,50
435,10,10,0.001,50,100
436,10,10,0.001,50,200
437,10,10,0.001,100,10
438,10,10,0.001,100,50
439,10,10,0.001,100,100
440,10,10,0.001,100,200
441,10,10,0.001,250,10
442,10,10,0.001,250,50
443,10,10,0.001,250,100
444,10,10,0.001,250,200
445,10,10,0.001,500,10
446,10,10,0.001,500,50
447,10,10,0.001,500,100
448,10,10,0.001,500,200
449,10,20,0.01,50,10
450,10,20,0.01,50,50
451,10,20,0.01,50,100
452,10,20,0.01,50,200
453,10,20,0.01,100,10
454,10,20,0.01,100,50
455,10,20,0.01,100,100
456,10,20,0.01,100,200
457,10,20,0.01,250,10
458,10,20,0.01,250,50
459,10,20,0.01,250,100
460,10,20,0.01,250,200
461,10,20,0.01,500,10
462,10,20,0.01,500,50
463,10,20,0.01,500,100
464,10,20,0.01,500,200
465,10,20,0.001,50,10
466,10,20,0.001,50,50
467,10,20,0.001,50,100
468,10,20,0.001,50,200
469,10,20,0.001,100,10
470,10,20,0.001,100,50
471,10,20,0.001,100,100
472,10,20,0.001,100,200
473,10,20,0.001,250,10
474,10,20,0.001,250,50
475,10,20,0.001,250,100
476,10,20,0.001,250,200
477,10,20,0.001,500,10
478,10,20,0.001,500,50
479,10,20,0.001,500,100
480,10,20,0.001,500,200
481,20,10,0.01,50,10
482,20,10,0.01,50,50
483,20,10,0.01,50,100
484,20,10,0.01,50,200
485,20,10,0.01,100,10
486,20,10,0.01,100,50
487,20,10,0.01,100,100
488,20,10,0.01,100,200
489,20,10,0.01,250,10
490,20,10,0.01,250,50
491,20,10,0.01,250,100
492,20,10,0.01,250,200
493,20,10,0.01,500,10
494,20,10,0.01,500,50
495,20,10,0.01,500,100
496,20,10,0.01,500,200
497,20,10,0.001,50,10
498,20,10,0.001,50,50
499,20,10,0.001,50,100
500,20,10,0.001,50,200
501,20,10,0.001,100,10
502,20,10,0.001,100,50
503,20,10,0.001,100,100
504,20,10,0.001,100,200
505,20,10,0.001,250,10
506,20,10,0.001,250,50
507,20,10,0.001,250,100
508,20,10,0.001,250,200
509,20,10,0.001,500,10
510,20,10,0.001,500,50
511,20,10,0.001,500,100
512,20,10,0.001,500,200
