date,index1,index2,loss_profits,pred_date,prediction,real,0.634020619,12.86788618,-9.290845024,31.4,-25.75000017,,,BT,BB,실재지수,에측지수,
2017-07-10,310.8,314.3000001,3.500000137,2017-10-09,1.142104745,1.12612617,,,,,,4.917685656,2017-10-09,324.1353714,304.4646288,314.3000001,314.3496615,1
2017-07-11,312.7,320.1499998,7.449999756,2017-10-10,1.462302685,2.382475138,,,,,,5.023503413,2017-10-10,330.1970066,310.1029929,320.1499998,317.2726205,1
2017-07-12,312.6,323.2499997,10.64999974,2017-10-11,2.378669739,3.406909704,,,,,,5.214620603,2017-10-11,333.6792409,312.8207585,323.2499997,320.0357216,1
2017-07-13,316.55,325.6499997,-9.099999673,2017-10-12,-1.221164227,2.874743223,,,,,,5.451959444,2017-10-12,336.5539186,314.7460808,325.6499997,312.6844046,0
2017-07-14,316.7,325.3000002,8.600000195,2017-10-13,2.486912727,2.715503693,,,,,,5.661527234,2017-10-13,336.6230547,313.9769457,325.3000002,324.5760526,1
2017-07-17,317.5,325.5,7.99999997,2017-10-16,0.221742302,2.51968503,,,,,,5.85768777,2017-10-16,337.2153755,313.7846244,325.5,318.2040318,1
2017-07-18,318.05,325.7999998,7.749999757,2017-10-17,1.16021955,2.436723709,,,,,,6.047734795,2017-10-17,337.8954693,313.7045302,325.7999998,321.7400783,1
2017-07-19,318.7,325.8500003,-7.150000289,2017-10-18,-0.767000616,2.243489265,,,,,,6.222146879,2017-10-18,338.294294,313.4057065,325.8500003,316.255569,0
2017-07-20,319.6,324.1,4.499999979,2017-10-19,1.402510524,1.408010006,,,,,,6.323733626,2017-10-19,336.7474672,311.4525327,324.1,324.0824236,1
2017-07-21,321.1,326.2499999,5.149999885,2017-10-20,5.359244823,1.60386169,,,,,,6.45987309,2017-10-20,339.1697461,313.3302537,326.2499999,338.3085351,1
2017-07-24,321.25,327.05,5.799999963,2017-10-23,2.432236433,1.805447459,,,,,,6.615194394,2017-10-23,340.2803888,313.8196112,327.05,329.0635595,1
2017-07-25,319.65,326.5500003,6.900000251,2017-10-24,2.907006264,2.158611059,,,,,,6.777117449,2017-10-24,340.1042351,312.9957654,326.5500003,328.9422455,1
2017-07-26,318.95,326.7500002,-7.800000246,2017-10-25,-1.501908898,2.445524454,,,,,,6.949258659,2017-10-25,340.6485176,312.8514829,326.7500002,314.1596616,0
2017-07-27,319.85,323.7500002,3.900000165,2017-10-26,3.521211386,1.219321609,,,,,,7.023866166,2017-10-26,337.7977325,309.7022678,323.7500002,331.1125946,1
2017-07-28,312.55,326.8499995,14.29999948,2017-10-27,10.76025486,4.575267792,,,,,,7.221924668,2017-10-27,341.2938488,312.4061501,326.8499995,346.1811766,0
2017-07-31,313.55,327.4500007,13.9000007,2017-10-30,3.381197929,4.433104992,,,,,,7.42644241,2017-10-30,342.3028855,312.5971159,327.4500007,324.1517461,1
2017-08-01,316.55,331.0500003,14.50000032,2017-10-31,2.677128077,4.580635071,,,,,,7.72486487,2017-10-31,346.4997301,315.6002706,331.0500003,325.0244489,1
2017-08-02,317.15,336.5499993,19.39999929,2017-11-01,0.112800092,6.116979122,,,,,,8.2105999,2017-11-01,352.9711991,320.1287995,336.5499993,317.5077455,0
2017-08-03,311.65,335.0499998,23.39999982,2017-11-02,4.909356117,7.508422852,,,,,,8.599430256,2017-11-02,352.2488603,317.8511393,335.0499998,326.9500083,1
2017-08-04,312.85,336.3500004,23.50000038,2017-11-03,4.518188953,7.511587143,,,,,,9.00929588,2017-11-03,354.3685921,318.3314086,336.3500004,326.9851541,1
2017-08-07,312.9,334.1499995,21.24999952,2017-11-06,0.76957792,6.791306973,,,,,,9.314030076,2017-11-06,352.7780597,315.5219394,334.1499995,315.3080093,0
2017-08-08,312.85,333.7499995,20.89999954,2017-11-07,2.471347332,6.680517673,,,,,,9.585625506,2017-11-07,352.9212506,314.5787485,333.7499995,320.5816101,1
2017-08-09,308.65,335.2499987,26.5999987,2017-11-08,3.967039108,8.618175507,,,,,,9.848415531,2017-11-08,354.9468298,315.5531676,335.2499987,320.8942662,1
2017-08-10,307.25,333.6500013,26.40000125,2017-11-09,6.185087681,8.592351913,,,,,,10.0242763,2017-11-09,353.6985539,313.6014486,333.6500013,326.2536819,1
2017-08-11,301.5,332.9,31.4,2017-11-10,8.889713287,10.4145937,,,,,,10.05074624,2017-11-10,353.0014925,312.7985075,332.9,328.3024856,1
2017-08-14,304.6,331.5499987,26.9499987,2017-11-13,7.904090405,8.847668648,,,,,,10.09120797,2017-11-13,351.7324146,311.3675828,331.5499987,328.6758594,1
2017-08-15,304.6,331.3000008,26.70000079,2017-11-14,9.053572655,8.765594482,,,,,,10.10896927,2017-11-14,351.5179393,311.0820623,331.3000008,332.1771823,1
2017-08-16,306.25,329.1499999,22.89999989,2017-11-15,4.960014343,7.477550983,,,,,,10.10183318,2017-11-15,349.3536663,308.9463335,329.1499999,321.4400439,1
2017-08-17,307.9,331.3000004,23.40000036,2017-11-16,7.751979351,7.599870205,,,,,,10.1503003,2017-11-16,351.600601,310.9993998,331.3000004,331.7683444,1
2017-08-18,307.75,330.9500003,23.20000031,2017-11-17,4.965447903,7.538586617,,,,,,10.17647457,2017-11-17,351.3029494,310.5970512,330.9500003,323.0311659,1
2017-08-21,307.05,329.4500005,22.40000052,2017-11-20,11.92215443,7.295228958,,,,,,10.15178745,2017-11-20,349.7535754,309.1464256,329.4500005,343.6569752,1
2017-08-22,308.7,330.8499999,22.14999986,2017-11-21,10.12557125,7.175251007,,,,,,10.16764092,2017-11-21,351.1852817,310.514718,330.8499999,339.9576385,1
2017-08-23,308.6,332.5500006,23.95000061,2017-11-22,3.330954075,7.760855675,,,,,,10.20110659,2017-11-22,352.9522138,312.1477874,332.5500006,318.8793243,1
2017-08-24,310.1,331.4499998,21.34999978,2017-11-23,6.211216927,6.884875774,,,,,,10.22600498,2017-11-23,351.9020097,310.9979898,331.4499998,329.3609837,1
2017-08-25,310.25,332.2499994,21.99999936,2017-11-24,0.415820658,7.091055393,,,,,,10.25634302,2017-11-24,352.7626854,311.7373133,332.2499994,311.5400836,0
2017-08-28,308.2,325.8999996,17.69999957,2017-11-27,8.948637962,5.743023872,,,,,,10.15876327,2017-11-27,346.2175261,305.582473,325.8999996,335.7797022,1
2017-08-29,307.15,327.7000004,20.55000043,2017-11-28,5.099440098,6.690542221,,,,,,10.04686405,2017-11-28,347.7937285,307.6062723,327.7000004,322.8129303,1
2017-08-30,309,327.6999994,18.69999942,2017-11-29,4.716232777,6.051779747,,,,,,9.962235604,2017-11-29,347.6244706,307.7755282,327.6999994,323.5731593,1
2017-08-31,306.65,322.2500002,15.6000002,2017-11-30,2.260628939,5.087233067,,,,,,9.787933297,2017-11-30,341.8258668,302.6741336,322.2500002,313.5822186,1
2017-09-01,306.3,321.8499999,15.54999993,2017-12-01,0.806629896,5.076722145,,,,,,9.59549411,2017-12-01,341.0409882,302.6590117,321.8499999,308.7707074,1
2017-09-04,303.5,324.9999997,21.49999967,2017-12-04,4.636237144,7.084019661,,,,,,9.318915446,2017-12-04,343.6378306,306.3621688,324.9999997,317.5709797,1
2017-09-05,302.7,326.5999995,23.89999949,2017-12-05,3.571503401,7.895606041,,,,,,9.003600375,2017-12-05,344.6072002,308.5927987,326.5999995,313.5109408,1
2017-09-06,302.3,321.6499996,19.34999964,2017-12-06,3.48338604,6.400926113,,,,,,8.635312119,2017-12-06,338.9206239,304.3793754,321.6499996,312.830276,1
2017-09-07,306.2,320.6999998,14.49999982,2017-12-07,0.192468852,4.735466957,,,,,,8.381588826,2017-12-07,337.4631775,303.9368222,320.6999998,306.7893396,1
2017-09-08,306.25,321.4000007,15.15000066,2017-12-08,3.904173851,4.946938992,,,,,,8.112302949,2017-12-08,337.6246066,305.1753948,321.4000007,318.2065324,1
2017-09-11,309.25,321.4999999,12.24999994,2017-12-11,2.009461164,3.961196423,,,,,,7.920275451,2017-12-11,337.3405508,305.659449,321.4999999,315.4642587,1
2017-09-12,309.2,320.4500001,11.25000012,2017-12-12,1.246999621,3.638421774,,,,,,7.723113256,2017-12-12,335.8962266,305.0037736,320.4500001,313.0557228,1
2017-09-13,308.55,322.85,-14.29999995,2017-12-13,-0.653154731,4.634581089,,,,,,7.485265334,2017-12-13,337.8205306,307.8794693,322.85,306.5346911,0
2017-09-14,310.25,324.2999999,14.04999992,2017-12-14,0.663893759,4.528605938,,,,,,7.28497969,2017-12-14,338.8699593,309.7300405,324.2999999,312.3097304,1
2017-09-15,311.2,322.7500001,-11.55000006,2017-12-15,-0.067664422,3.71143961,,,,,,7.103498089,2017-12-15,336.9569962,308.5430039,322.7500001,310.9894283,0
2017-09-18,316.7,324.1499997,-7.449999659,2017-12-18,-0.963517547,2.352383852,,,,,,7.038789163,2017-12-18,338.227578,310.0724213,324.1499997,313.6485399,0
2017-09-19,316.05,323.85,-7.800000013,2017-12-19,-1.004381776,2.467963934,,,,,,6.960032535,2017-12-19,337.7700651,309.9299349,323.85,312.8756514,0
2017-09-20,315.8,323.55,-7.75000003,2017-12-20,-3.415812254,2.454084873,,,,,,6.873939866,2017-12-20,337.2978798,309.8021203,323.55,305.0128649,0
2017-09-21,316.05,316.85,-0.799999999,2017-12-21,-1.184459805,0.253124505,,,,,,6.858996847,2017-12-21,330.5679937,303.1320063,316.85,312.3065148,0
2017-09-22,313.75,318.5000001,-4.750000142,2017-12-22,-1.070065379,1.513944268,,,,,,6.765560945,2017-12-22,332.031122,304.9688783,318.5000001,310.3926699,0
2017-09-25,313.8,318.4999999,4.699999864,2017-12-25,1.604678869,1.497769237,,,,,,6.671295789,2017-12-25,331.8425914,305.1574083,318.4999999,318.8354823,1
2017-09-26,311.8,317.4500001,5.650000102,2017-12-26,1.199087024,1.812059045,,,,,,6.534540899,2017-12-26,330.5190819,304.3809183,317.4500001,315.5387533,1
2017-09-27,311.4,321.2000003,9.800000266,2017-12-27,3.275420189,3.147077799,,,,,,6.328058986,2017-12-27,333.8561182,308.5438823,321.2000003,321.5996585,1
2017-09-28,311.6,325.6500004,14.05000036,2017-12-28,6.026579857,4.508985996,,,,,,6.097287484,2017-12-28,337.8445753,313.4554254,325.6500004,330.3788228,1
2017-09-29,314.3,325.6499996,11.34999965,2017-12-29,2.663896322,3.611199379,,,,,,5.938860168,2017-12-29,337.52772,313.7722793,325.6499996,322.6726261,1
2017-10-02,314.3,325.6499996,11.34999965,2018-01-01,8.139374733,3.611199379,,,,,,5.770725399,2018-01-01,337.1914504,314.1085488,325.6499996,339.8820548,0
2017-10-03,314.3,326.4999996,12.19999963,2018-01-02,8.006948471,3.881641626,,,,,,5.592674424,2018-01-02,337.6853485,315.3146508,326.4999996,339.465839,0
2017-10-04,314.3,327.6999998,13.39999983,2018-01-03,9.804785728,4.263442516,,,,,,5.405970924,2018-01-03,338.5119417,316.888058,327.6999998,345.1164415,0
2017-10-05,314.3,325.0000003,10.70000032,2018-01-04,6.476844788,3.404390812,,,,,,5.203018724,2018-01-04,335.4060378,314.5939629,325.0000003,334.6567232,1
2017-10-06,314.3,328.9500004,14.65000038,2018-01-05,4.003305435,4.661151886,,,,,,4.993831171,2018-01-05,338.9376627,318.962338,328.9500004,326.882389,1
2017-10-09,314.3,331.2500001,16.95000007,2018-01-08,5.183013916,5.392936707,,,,,,4.790699247,2018-01-08,340.8313986,321.6686016,331.2500001,330.5902127,1
2017-10-10,320.15,330.4500003,10.30000027,2018-01-09,3.166189194,3.217242002,,,,,,4.742181952,2018-01-09,339.9343642,320.9656364,330.4500003,330.2865547,1
2017-10-11,323.25,327.85,4.600000025,2018-01-10,2.831252813,1.423047185,,,,,,4.722413949,2018-01-10,337.2948279,318.4051721,327.85,332.4020247,1
2017-10-12,325.65,326.5,0.849999999,2018-01-11,1.288110614,0.261016428,,,,,,4.720111559,2018-01-11,335.9402231,317.0597769,326.5,329.8447322,1
2017-10-13,325.3,326.85,1.550000031,2018-01-12,1.344321728,0.476483256,,,,,,4.715815376,2018-01-12,336.2816308,317.4183693,326.85,329.6730786,1
2017-10-16,325.5,327.3,1.799999974,2018-01-15,0.711644232,0.552995384,,,,,,4.712607502,2018-01-15,336.725215,317.874785,327.3,327.816402,1
2017-10-17,325.8,330.5000002,4.70000016,2018-01-16,0.673806429,1.442602873,,,,,,4.730685301,2018-01-16,339.9613708,321.0386296,330.5000002,327.9952613,1
2017-10-18,325.85,329.2000002,3.35000019,2018-01-17,0.848705411,1.028080463,,,,,,4.735942381,2018-01-17,338.671885,319.7281154,329.2000002,328.6155066,1
2017-10-19,324.1,329.4000001,5.30000009,2018-01-18,2.158564568,1.635297775,,,,,,4.729535496,2018-01-18,338.8590711,319.9409291,329.4000001,331.0959078,1
2017-10-20,326.25,329.6000001,3.350000069,2018-01-19,2.095549583,1.026819944,,,,,,4.737743803,2018-01-19,339.0754877,320.1245125,329.6000001,333.0867305,1
2017-10-23,327.05,326.25,-0.800000016,2018-01-22,1.155712128,-0.244610921,,,,,,4.739200781,2018-01-22,335.7284015,316.7715984,326.25,330.8297565,0
2017-10-24,326.55,331.2500001,4.70000009,2018-01-23,2.331069469,1.43928957,,,,,,4.764972859,2018-01-23,340.7799458,321.7200544,331.2500001,334.1621074,1
2017-10-25,326.75,331.6000002,4.850000165,2018-01-24,1.163209558,1.484315276,,,,,,4.794608601,2018-01-24,341.1892174,322.010783,331.6000002,330.5507872,1
2017-10-26,323.75,334.3,-10.55,2018-01-25,-0.470904291,3.258687258,,,,,,4.849332453,2018-01-25,343.9986649,324.6013351,334.3,322.2254474,0
2017-10-27,326.85,335.9500001,9.100000134,2018-01-26,1.428739429,2.784151793,,,,,,4.960206673,2018-01-26,345.8704135,326.0295868,335.9500001,331.5198348,1
2017-10-30,327.45,338.5000002,-11.05000023,2018-01-29,-1.104207754,3.374561071,,,,,,5.139521523,2018-01-29,348.7790433,328.2209572,338.5000002,323.8342717,0
2017-10-31,331.05,333.8999999,2.849999928,2018-01-30,5.757863522,0.860897124,,,,,,5.179548818,2018-01-30,344.2590976,323.5409023,333.8999999,350.1114072,0
2017-11-01,336.55,334.45,-2.100000028,2018-01-31,2.190608025,-0.623978615,,,,,,5.130812839,2018-01-31,344.7116256,324.1883743,334.45,343.9224913,0
2017-11-02,335.05,333.65,-1.399999993,2018-02-01,2.896016598,-0.41784808,,,,,,5.102880031,2018-02-01,343.8557601,323.4442399,333.65,344.7531036,0
2017-11-03,336.35,327.3999999,-8.95000009,2018-02-02,0.678129196,-2.660918713,,,,,,4.988176887,2018-02-02,337.3763537,317.4236461,327.3999999,338.6308876,0
2017-11-06,334.15,322.9999996,-11.15000038,2018-02-05,1.764536858,-3.336824894,,,,,,4.953370914,2018-02-05,332.9067414,313.0932578,322.9999996,340.0461999,0
2017-11-07,333.75,317.6500007,-16.09999934,2018-02-06,2.718170881,-4.823969841,,,,,,5.037585058,2018-02-06,327.7251708,307.5748305,317.6500007,342.8218953,0
2017-11-08,335.25,309.4999998,-25.75000017,2018-02-07,2.707925797,-7.680835247,,,,,,5.398100294,2018-02-07,320.2962004,298.7037992,309.4999998,344.3283212,0
2017-11-09,333.65,312.5000005,-21.14999948,2018-02-08,0.697898984,-6.338977814,,,,,,5.615026414,2018-02-08,323.7300534,301.2699477,312.5000005,335.97854,0
2017-11-10,332.9,303.8500005,29.04999954,2018-02-09,-0.284777999,-8.726344109,,,,,,6.223028051,2018-02-09,316.2960566,291.4039444,303.8500005,331.951974,0
2017-11-13,331.55,308.0999999,23.45000015,2018-02-12,-1.825941086,-7.072839737,,,,,,6.570968894,2018-02-12,321.2419376,294.9580621,308.0999999,325.4960923,0
2017-11-14,331.3,311.4000002,19.89999976,2018-02-13,-0.698752761,-6.006640434,,,,,,6.767536693,2018-02-13,324.9350736,297.8649269,311.4000002,328.9850321,0
2017-11-15,329.15,314.2999995,14.85000052,2018-02-14,-1.870260358,-4.511620998,,,,,,6.888979668,2018-02-14,328.0779588,300.5220401,314.2999995,322.994038,1
2017-11-16,331.3,314.3,16.99999997,2018-02-15,-0.904523075,-5.131300926,,,,,,6.975342044,2018-02-15,328.2506841,300.3493159,314.3,328.3033151,0
2017-11-17,330.95,314.2999997,-16.65000027,2018-02-16,0.105437309,-5.030971527,,,,,,7.055811418,2018-02-16,328.4116226,300.1883769,314.2999997,331.2989448,0
2017-11-20,329.45,316.2500006,-13.19999944,2018-02-19,0.606086135,-4.006677628,,,,,,7.105777291,2018-02-19,330.4615551,302.038446,316.2500006,331.4467508,0
