date,index1,index2,loss_profits,pred_date,prediction,real,0.694444444,,,,BT,BB,real,pred,구간예측,구간+방향성
2018-03-01,312.45,309.15,3.299999952,2018-05-31,-4.329713345,-3.299999952,,,4.024875811,2018-05-31,315.7668959,302.5331042,309.15,308.1202867,1,1
2018-03-02,308.15,311.4,3.25,2018-06-01,2.141616344,3.25,,,4.038854704,2018-06-01,318.0398771,304.7601229,311.4,310.2916163,1,1
2018-03-05,303.85,313.1500002,9.300000191,2018-06-04,5.666494846,9.300000191,,,3.946494417,2018-06-04,319.638037,306.6619634,313.1500002,309.5164948,1,1
2018-03-06,310.3,313.75,3.450000048,2018-06-05,1.857918143,3.450000048,,,3.676491182,2018-06-05,319.7941516,307.7058485,313.75,312.1579181,1,1
2018-03-07,310.45,313.75,3.299999952,2018-06-06,4.017357349,3.299999952,,,3.623663245,2018-06-06,319.7073023,307.7926976,313.75,314.4673573,1,1
2018-03-08,313.6,316.85,-3.25,2018-06-07,-0.44520539,3.25,,,3.56662699,2018-06-07,322.7135348,310.9864652,316.85,313.1547946,1,0
2018-03-09,317.1,313.3,-3.799999952,2018-06-08,0.224273041,-3.799999952,,,3.56963928,2018-06-08,319.168487,307.4315131,313.3,317.324273,1,0
2018-03-12,320.1,316.15,-3.950000048,2018-06-11,4.401801586,-3.950000048,,,3.566134091,2018-06-11,322.0127244,310.2872755,316.15,324.5018016,0,0
2018-03-13,321.5,315.6500001,-5.849999905,2018-06-12,0.913469255,-5.849999905,,,3.524683606,2018-06-12,321.4445799,309.8554202,315.6500001,322.4134693,0,0
2018-03-14,321.55,315.6499999,5.900000095,2018-06-13,-0.862366676,-5.900000095,,,3.4491974,2018-06-13,321.3204804,309.9795194,315.6499999,320.6876333,1,1
2018-03-15,322.85,310.4000002,12.44999981,2018-06-14,-2.856381178,-12.44999981,,,3.426573873,2018-06-14,316.0332876,304.7667127,310.4000002,319.9936188,0,0
2018-03-16,322,309.1999998,12.80000019,2018-06-15,-3.13112998,-12.80000019,,,3.383942612,2018-06-15,314.7632015,303.6367982,309.1999998,318.86887,0,0
2018-03-19,319.85,305.85,14,2018-06-18,-0.539376497,-14,,,3.469712526,2018-06-18,311.5542074,300.1457926,305.85,319.3106235,0,0
2018-03-20,321.3,301.3499992,-19.95000076,2018-06-19,1.054205418,-19.95000076,,,3.802045288,2018-06-19,307.6005617,295.0994368,301.3499992,322.3542054,0,0
2018-03-21,321.6,304.2000004,17.39999962,2018-06-20,-3.760792017,-17.39999962,,,3.926344068,2018-06-20,310.65491,297.7450907,304.2000004,317.839208,0,0
2018-03-22,322.1,300.7499996,21.35000038,2018-06-21,-1.123680711,-21.35000038,,,4.172942872,2018-06-21,307.6103177,293.8896815,300.7499996,320.9763193,0,0
2018-03-23,311.5,303.6500001,-7.849999905,2018-06-22,16.72797775,-7.849999905,,,4.248144323,2018-06-22,310.6339494,296.6660508,303.6500001,328.2279778,0,0
2018-03-26,314.5,303.25,-11.25,2018-06-25,14.92143822,-11.25,,,4.435618441,2018-06-25,310.5421567,295.9578433,303.25,329.4214382,0,0
2018-03-27,315.15,302.4,-12.75,2018-06-26,4.857736111,-12.75,,,4.648095081,2018-06-26,310.0414683,294.7585317,302.4,320.0077361,0,0
2018-03-28,310.65,301.5499996,-9.100000381,2018-06-27,1.891896129,-9.100000381,,,4.871807005,2018-06-27,309.5592503,293.5407489,301.5499996,312.5418961,0,0
2018-03-29,314.45,299.0999996,15.35000038,2018-06-28,-3.00851965,-15.35000038,,,5.168214953,2018-06-28,307.596545,290.6034542,299.0999996,311.4414804,0,0
2018-03-30,314.55,299.9999998,14.55000019,2018-06-29,-1.399962425,-14.55000019,,,5.413055745,2018-06-29,308.8990635,291.1009362,299.9999998,313.1500376,0,0
2018-04-02,313.45,292.9000008,20.54999924,2018-07-02,-3.326785564,-20.54999924,,,5.944084099,2018-07-02,302.672075,283.1279265,292.9000008,310.1232144,0,0
2018-04-03,312.8,293.7500008,19.04999924,2018-07-03,-5.519681454,-19.04999924,,,6.380108265,2018-07-03,304.2388988,283.2611028,293.7500008,307.2803185,0,0
2018-04-04,307.55,292.55,15,2018-07-04,-1.72910583,-15,,,6.827680703,2018-07-04,303.7747071,281.3252929,292.55,305.8208942,0,0
2018-04-05,312.95,291.9999992,20.95000076,2018-07-05,-6.519376755,-20.95000076,,,7.239779107,2018-07-05,303.9021961,280.0978024,291.9999992,306.4306232,0,0
2018-04-06,311.2,293.5999996,17.60000038,2018-07-06,-3.944038391,-17.60000038,,,7.575420165,2018-07-06,306.0539904,281.1460089,293.5999996,307.2559616,0,0
2018-04-09,312.95,296.2499992,16.70000076,2018-07-09,-1.611594081,-16.70000076,,,7.803994592,2018-07-09,309.0797663,283.4202321,296.2499992,311.3384059,0,0
2018-04-10,313.45,296.95,16.5,2018-07-10,-1.036673903,-16.5,,,7.996628114,2018-07-10,310.0964566,283.8035434,296.95,312.4133261,0,0
2018-04-11,312.45,295.3000004,-17.14999962,2018-07-11,0.009345546,-17.14999962,,,8.220427396,2018-07-11,308.814383,281.7856177,295.3000004,312.4593455,0,0
2018-04-12,311.75,296,15.75,2018-07-12,-1.900695324,-15.75,,,8.414754947,2018-07-12,309.8338571,282.1661429,296,309.8493047,0,0
2018-04-13,314.45,299.0999996,15.35000038,2018-07-13,-5.788092136,-15.35000038,,,8.528841238,2018-07-13,313.1214146,285.0785846,299.0999996,308.6619079,1,1
2018-04-16,314.3,298.1999996,16.10000038,2018-07-16,-5.674826145,-16.10000038,,,8.640879996,2018-07-16,312.4056063,283.9943929,298.1999996,308.6251739,1,1
2018-04-17,314.4,297.3500008,-17.04999924,2018-07-17,0.43954581,-17.04999924,,,8.76361465,2018-07-17,311.7573832,282.9426183,297.3500008,314.8395458,0,0
2018-04-18,317.6,297.0500008,20.54999924,2018-07-18,-6.750286102,-20.54999924,,,8.882688337,2018-07-18,311.6531404,282.4468611,297.0500008,310.8497139,1,1
2018-04-19,319,296.0499992,22.95000076,2018-07-19,-3.490724325,-22.95000076,,,8.977038568,2018-07-19,310.8082506,281.2917478,296.0499992,315.5092757,0,0
,,,,,,,,,,,,,,,,0.25
